Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.31,2.57,4743.58,364.57,36.26,1176.42,2727.14,211.1,8.11,0
1,2010-02-12,38.51,2.55,4743.58,364.57,36.26,1176.42,2727.14,211.24,8.11,1
1,2010-02-19,39.93,2.51,4743.58,364.57,36.26,1176.42,2727.14,211.29,8.11,0
1,2010-02-26,46.63,2.56,4743.58,364.57,36.26,1176.42,2727.14,211.32,8.11,0
1,2010-03-05,46.5,2.62,4743.58,364.57,36.26,1176.42,2727.14,211.35,8.11,0
1,2010-03-12,57.79,2.67,4743.58,364.57,36.26,1176.42,2727.14,211.38,8.11,0
1,2010-03-19,54.58,2.72,4743.58,364.57,36.26,1176.42,2727.14,211.22,8.11,0
1,2010-03-26,51.45,2.73,4743.58,364.57,36.26,1176.42,2727.14,211.02,8.11,0
1,2010-04-02,62.27,2.72,4743.58,364.57,36.26,1176.42,2727.14,210.82,7.81,0
1,2010-04-09,65.86,2.77,4743.58,364.57,36.26,1176.42,2727.14,210.62,7.81,0
1,2010-04-16,66.32,2.81,4743.58,364.57,36.26,1176.42,2727.14,210.49,7.81,0
1,2010-04-23,64.84,2.8,4743.58,364.57,36.26,1176.42,2727.14,210.44,7.81,0
1,2010-04-30,67.41,2.78,4743.58,364.57,36.26,1176.42,2727.14,210.39,7.81,0
1,2010-05-07,72.55,2.84,4743.58,364.57,36.26,1176.42,2727.14,210.34,7.81,0
1,2010-05-14,74.78,2.85,4743.58,364.57,36.26,1176.42,2727.14,210.34,7.81,0
1,2010-05-21,76.44,2.83,4743.58,364.57,36.26,1176.42,2727.14,210.62,7.81,0
1,2010-05-28,80.44,2.76,4743.58,364.57,36.26,1176.42,2727.14,210.9,7.81,0
1,2010-06-04,80.69,2.7,4743.58,364.57,36.26,1176.42,2727.14,211.18,7.81,0
1,2010-06-11,80.43,2.67,4743.58,364.57,36.26,1176.42,2727.14,211.46,7.81,0
1,2010-06-18,84.11,2.64,4743.58,364.57,36.26,1176.42,2727.14,211.45,7.81,0
1,2010-06-25,84.34,2.65,4743.58,364.57,36.26,1176.42,2727.14,211.34,7.81,0
1,2010-07-02,80.91,2.67,4743.58,364.57,36.26,1176.42,2727.14,211.22,7.79,0
1,2010-07-09,80.48,2.64,4743.58,364.57,36.26,1176.42,2727.14,211.11,7.79,0
1,2010-07-16,83.15,2.62,4743.58,364.57,36.26,1176.42,2727.14,211.1,7.79,0
1,2010-07-23,83.36,2.61,4743.58,364.57,36.26,1176.42,2727.14,211.24,7.79,0
1,2010-07-30,81.84,2.64,4743.58,364.57,36.26,1176.42,2727.14,211.37,7.79,0
1,2010-08-06,87.16,2.63,4743.58,364.57,36.26,1176.42,2727.14,211.5,7.79,0
1,2010-08-13,87.0,2.69,4743.58,364.57,36.26,1176.42,2727.14,211.64,7.79,0
1,2010-08-20,86.65,2.66,4743.58,364.57,36.26,1176.42,2727.14,211.6,7.79,0
1,2010-08-27,85.22,2.62,4743.58,364.57,36.26,1176.42,2727.14,211.57,7.79,0
1,2010-09-03,81.21,2.58,4743.58,364.57,36.26,1176.42,2727.14,211.53,7.79,0
1,2010-09-10,78.69,2.56,4743.58,364.57,36.26,1176.42,2727.14,211.5,7.79,1
1,2010-09-17,82.11,2.58,4743.58,364.57,36.26,1176.42,2727.14,211.52,7.79,0
1,2010-09-24,80.94,2.62,4743.58,364.57,36.26,1176.42,2727.14,211.6,7.79,0
1,2010-10-01,71.89,2.6,4743.58,364.57,36.26,1176.42,2727.14,211.67,7.84,0
1,2010-10-08,63.93,2.63,4743.58,364.57,36.26,1176.42,2727.14,211.75,7.84,0
1,2010-10-15,67.18,2.72,4743.58,364.57,36.26,1176.42,2727.14,211.81,7.84,0
1,2010-10-22,69.86,2.72,4743.58,364.57,36.26,1176.42,2727.14,211.86,7.84,0
1,2010-10-29,69.64,2.72,4743.58,364.57,36.26,1176.42,2727.14,211.91,7.84,0
1,2010-11-05,58.74,2.69,4743.58,364.57,36.26,1176.42,2727.14,211.96,7.84,0
1,2010-11-12,59.61,2.73,4743.58,364.57,36.26,1176.42,2727.14,212.0,7.84,0
1,2010-11-19,51.41,2.77,4743.58,364.57,36.26,1176.42,2727.14,211.89,7.84,0
1,2010-11-26,64.52,2.74,4743.58,364.57,36.26,1176.42,2727.14,211.75,7.84,1
1,2010-12-03,49.27,2.71,4743.58,364.57,36.26,1176.42,2727.14,211.61,7.84,0
1,2010-12-10,46.33,2.84,4743.58,364.57,36.26,1176.42,2727.14,211.47,7.84,0
1,2010-12-17,49.84,2.87,4743.58,364.57,36.26,1176.42,2727.14,211.41,7.84,0
1,2010-12-24,52.33,2.89,4743.58,364.57,36.26,1176.42,2727.14,211.41,7.84,0
1,2010-12-31,48.43,2.94,4743.58,364.57,36.26,1176.42,2727.14,211.4,7.84,1
1,2011-01-07,48.27,2.98,4743.58,364.57,36.26,1176.42,2727.14,211.4,7.74,0
1,2011-01-14,35.4,2.98,4743.58,364.57,36.26,1176.42,2727.14,211.46,7.74,0
1,2011-01-21,44.04,3.02,4743.58,364.57,36.26,1176.42,2727.14,211.83,7.74,0
1,2011-01-28,43.83,3.01,4743.58,364.57,36.26,1176.42,2727.14,212.2,7.74,0
1,2011-02-04,42.27,2.99,4743.58,364.57,36.26,1176.42,2727.14,212.57,7.74,0
1,2011-02-11,36.39,3.02,4743.58,364.57,36.26,1176.42,2727.14,212.94,7.74,1
1,2011-02-18,57.36,3.04,4743.58,364.57,36.26,1176.42,2727.14,213.25,7.74,0
1,2011-02-25,62.9,3.06,4743.58,364.57,36.26,1176.42,2727.14,213.54,7.74,0
1,2011-03-04,59.58,3.29,4743.58,364.57,36.26,1176.42,2727.14,213.82,7.74,0
1,2011-03-11,53.56,3.46,4743.58,364.57,36.26,1176.42,2727.14,214.11,7.74,0
1,2011-03-18,62.76,3.49,4743.58,364.57,36.26,1176.42,2727.14,214.36,7.74,0
1,2011-03-25,69.97,3.47,4743.58,364.57,36.26,1176.42,2727.14,214.6,7.74,0
1,2011-04-01,59.17,3.52,4743.58,364.57,36.26,1176.42,2727.14,214.84,7.68,0
1,2011-04-08,67.84,3.62,4743.58,364.57,36.26,1176.42,2727.14,215.07,7.68,0
1,2011-04-15,71.27,3.74,4743.58,364.57,36.26,1176.42,2727.14,215.29,7.68,0
1,2011-04-22,72.99,3.81,4743.58,364.57,36.26,1176.42,2727.14,215.46,7.68,0
1,2011-04-29,72.03,3.81,4743.58,364.57,36.26,1176.42,2727.14,215.63,7.68,0
1,2011-05-06,64.61,3.91,4743.58,364.57,36.26,1176.42,2727.14,215.8,7.68,0
1,2011-05-13,75.64,3.9,4743.58,364.57,36.26,1176.42,2727.14,215.96,7.68,0
1,2011-05-20,67.63,3.91,4743.58,364.57,36.26,1176.42,2727.14,215.73,7.68,0
1,2011-05-27,77.72,3.79,4743.58,364.57,36.26,1176.42,2727.14,215.5,7.68,0
1,2011-06-03,83.0,3.7,4743.58,364.57,36.26,1176.42,2727.14,215.27,7.68,0
1,2011-06-10,83.13,3.65,4743.58,364.57,36.26,1176.42,2727.14,215.04,7.68,0
1,2011-06-17,86.41,3.64,4743.58,364.57,36.26,1176.42,2727.14,215.0,7.68,0
1,2011-06-24,83.58,3.59,4743.58,364.57,36.26,1176.42,2727.14,215.09,7.68,0
1,2011-07-01,85.55,3.52,4743.58,364.57,36.26,1176.42,2727.14,215.18,7.96,0
1,2011-07-08,85.83,3.48,4743.58,364.57,36.26,1176.42,2727.14,215.28,7.96,0
1,2011-07-15,88.54,3.58,4743.58,364.57,36.26,1176.42,2727.14,215.36,7.96,0
1,2011-07-22,85.77,3.65,4743.58,364.57,36.26,1176.42,2727.14,215.42,7.96,0
1,2011-07-29,86.83,3.68,4743.58,364.57,36.26,1176.42,2727.14,215.48,7.96,0
1,2011-08-05,91.65,3.68,4743.58,364.57,36.26,1176.42,2727.14,215.54,7.96,0
1,2011-08-12,90.76,3.64,4743.58,364.57,36.26,1176.42,2727.14,215.61,7.96,0
1,2011-08-19,89.94,3.55,4743.58,364.57,36.26,1176.42,2727.14,215.67,7.96,0
1,2011-08-26,87.96,3.52,4743.58,364.57,36.26,1176.42,2727.14,215.73,7.96,0
1,2011-09-02,87.83,3.53,4743.58,364.57,36.26,1176.42,2727.14,215.8,7.96,0
1,2011-09-09,76.0,3.55,4743.58,364.57,36.26,1176.42,2727.14,215.86,7.96,1
1,2011-09-16,79.94,3.53,4743.58,364.57,36.26,1176.42,2727.14,216.04,7.96,0
1,2011-09-23,75.8,3.47,4743.58,364.57,36.26,1176.42,2727.14,216.38,7.96,0
1,2011-09-30,79.69,3.36,4743.58,364.57,36.26,1176.42,2727.14,216.71,7.96,0
1,2011-10-07,69.31,3.28,4743.58,364.57,36.26,1176.42,2727.14,217.05,7.87,0
1,2011-10-14,71.74,3.27,4743.58,364.57,36.26,1176.42,2727.14,217.36,7.87,0
1,2011-10-21,63.71,3.35,4743.58,364.57,36.26,1176.42,2727.14,217.52,7.87,0
1,2011-10-28,66.57,3.37,4743.58,364.57,36.26,1176.42,2727.14,217.68,7.87,0
1,2011-11-04,54.98,3.33,4743.58,364.57,36.26,1176.42,2727.14,217.84,7.87,0
1,2011-11-11,59.11,3.3,10382.9,6115.67,215.07,2406.62,6551.42,218.0,7.87,0
1,2011-11-18,62.25,3.31,6074.12,254.39,51.98,427.39,5988.57,218.22,7.87,0
1,2011-11-25,60.14,3.24,410.31,98.0,55805.51,8.0,554.92,218.47,7.87,1
1,2011-12-02,48.91,3.17,5629.51,68.0,1398.11,2084.64,20475.32,218.71,7.87,0
1,2011-12-09,43.93,3.16,4640.65,19.0,105.02,3639.42,14461.82,218.96,7.87,0
1,2011-12-16,51.63,3.16,5011.32,67.0,347.37,225.79,4011.37,219.18,7.87,0
1,2011-12-23,47.96,3.11,2725.36,40.48,634.7,24.9,2739.43,219.36,7.87,0
1,2011-12-30,44.55,3.13,5762.1,46011.38,260.36,983.65,4735.78,219.54,7.87,1
1,2012-01-06,49.01,3.16,6277.39,21813.16,143.1,1450.13,8483.0,219.71,7.35,0
1,2012-01-13,48.53,3.26,5183.29,8025.87,42.24,453.08,3719.38,219.89,7.35,0
1,2012-01-20,54.11,3.27,4139.87,2807.19,33.88,500.62,3400.21,219.99,7.35,0
1,2012-01-27,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.08,7.35,0
1,2012-02-03,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.17,7.35,0
1,2012-02-10,48.02,3.41,13925.06,6927.23,101.64,8471.88,6886.04,220.27,7.35,1
1,2012-02-17,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.43,7.35,0
1,2012-02-24,57.25,3.56,9349.61,7556.01,3.2,1219.92,8143.59,220.64,7.35,0
1,2012-03-02,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.85,7.35,0
1,2012-03-09,58.76,3.67,10331.04,151.88,6.0,671.43,5509.84,221.06,7.35,0
1,2012-03-16,64.74,3.73,4298.16,7.5,2.02,2724.65,2017.69,221.21,7.35,0
1,2012-03-23,65.93,3.79,6118.56,9.48,4.97,426.72,3657.22,221.29,7.35,0
1,2012-03-30,67.61,3.84,10309.58,0.5,10.25,1654.17,2642.78,221.36,7.35,0
1,2012-04-06,70.43,3.89,10121.97,364.57,77.98,3750.59,4510.72,221.44,7.14,0
1,2012-04-13,69.07,3.89,6186.19,3288.69,17.07,1822.55,1063.78,221.51,7.14,0
1,2012-04-20,66.76,3.88,2230.8,612.02,19.75,275.13,5747.1,221.56,7.14,0
1,2012-04-27,67.23,3.81,3221.25,364.57,35.49,577.14,6222.25,221.62,7.14,0
1,2012-05-04,75.55,3.75,21290.13,364.57,69.89,4977.35,3261.04,221.67,7.14,0
1,2012-05-11,73.77,3.69,8351.4,364.57,10.52,2443.14,3127.88,221.73,7.14,0
1,2012-05-18,70.33,3.63,6154.14,364.57,45.11,1675.49,5508.18,221.74,7.14,0
1,2012-05-25,77.22,3.56,4039.39,364.57,745.19,1429.96,3631.13,221.74,7.14,0
1,2012-06-01,77.95,3.5,6086.21,12.0,370.51,148.75,3690.85,221.75,7.14,0
1,2012-06-08,78.3,3.45,8813.81,116.8,64.55,2652.04,7161.91,221.75,7.14,0
1,2012-06-15,79.35,3.39,5621.99,109.6,0.25,2420.28,3083.26,221.76,7.14,0
1,2012-06-22,78.39,3.35,8624.56,171.25,3.05,2524.07,7063.68,221.8,7.14,0
1,2012-06-29,84.88,3.29,3965.73,161.6,36.26,435.99,4212.97,221.84,7.14,0
1,2012-07-06,81.57,3.23,12218.76,94.4,192.83,4066.01,6149.04,221.88,6.91,0
1,2012-07-13,77.12,3.26,7218.13,45.2,36.24,3909.38,2596.37,221.92,6.91,0
1,2012-07-20,80.42,3.31,3213.0,313.72,9.53,2262.02,3228.19,221.93,6.91,0
1,2012-07-27,82.66,3.41,7146.9,389.02,1.59,10267.54,4325.19,221.94,6.91,0
1,2012-08-03,86.11,3.42,27584.78,119.98,30.23,12007.04,4661.71,221.95,6.91,0
1,2012-08-10,85.05,3.49,11436.22,245.0,6.85,6964.26,4836.22,221.96,6.91,0
1,2012-08-17,84.85,3.57,3662.06,137.86,4.84,2752.2,3446.15,222.04,6.91,0
1,2012-08-24,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.17,6.91,0
1,2012-08-31,80.49,3.64,21442.73,102.32,21.7,13209.64,3032.96,222.31,6.91,0
1,2012-09-07,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.44,6.91,1
1,2012-09-14,74.97,3.72,17212.52,7.0,18.79,1523.11,7992.72,222.58,6.91,0
1,2012-09-21,69.87,3.72,6352.3,7.64,4.69,1010.06,6456.71,222.78,6.91,0
1,2012-09-28,76.08,3.67,3666.27,7.64,1.65,1417.96,4744.28,222.98,6.91,0
1,2012-10-05,68.55,3.62,8077.89,364.57,18.22,3617.43,3626.14,223.18,6.57,0
1,2012-10-12,62.99,3.6,2086.18,364.57,8.11,602.36,5926.45,223.38,6.57,0
1,2012-10-19,67.97,3.59,950.33,364.57,4.93,80.25,2312.85,223.43,6.57,0
1,2012-10-26,69.16,3.51,2585.85,31.75,6.0,1057.16,1305.01,223.44,6.57,0
1,2012-11-02,55.32,3.39,6766.44,5147.7,50.82,3639.9,2737.42,223.46,6.57,0
1,2012-11-09,61.24,3.31,11421.32,3370.89,40.28,4646.79,6154.16,223.48,6.57,0
1,2012-11-16,52.92,3.25,9696.28,292.1,103.78,1133.15,6612.69,223.51,6.57,0
